,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2
0,104224046,Ático en venta en calle dels Almogàvers,El Parc i la Llacuna del Poblenou, Barcelona,1690000,1690000,0,277.0,4.0,Planta 7ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
1,102455492,Dúplex en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,2200000,2200000,0,145.0,2.0,Planta 21ª exterior con ascensor,False,True,True,True,True,True,True,True,False,Buen estado,,
2,97362092,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1770000,1770000,0,169.0,4.0,Planta 5ª exterior con ascensor,True,True,True,True,True,True,False,False,False,Buen estado,,
3,103500090,Ático en venta en calle de Moscou,La Vila Olímpica del Poblenou, Barcelona,895000,895000,0,138.0,4.0,Planta 6ª exterior con ascensor,False,False,False,True,True,True,True,False,False,Buen estado,169,35.0
4,103516955,Piso en venta en avenida Diagonal,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,380000,380000,0,79.0,2.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,135,28.0
5,105706122,Piso en venta en calle de Ramon Turró,El Poblenou, Barcelona,335000,335000,0,73.0,2.0,Planta 4ª exterior sin ascensor,True,False,False,True,False,True,True,False,False,Buen estado,130,32.0
6,105334643,Piso en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,668000,"
690000 €
",0,99.0,2.0,Planta 2ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,170,28.0
7,105993560, Chalet adosado en venta en Passatge de Maria Llimona,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1650000,1650000,0,187.0,3.0,,True,True,False,False,True,False,True,False,False,Buen estado,,
8,102492657,Ático en venta en calle de Vidal i de Valenciano,El Poblenou, Barcelona,1900000,1900000,0,184.0,2.0,Planta 14ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,117,
9,101913750, Chalet adosado en venta en Passatge de Maria Llimona,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1295000,1295000,0,215.0,3.0,,True,True,True,False,True,False,True,False,False,Buen estado,,
10,101323426,Piso en venta en calle del dos de Maig,El Camp de l'Arpa del Clot, Barcelona,649000,649000,0,145.0,2.0,Planta 2ª exterior con ascensor,True,True,True,True,False,True,True,False,False,Buen estado,100,10.0
11,105642831,Dúplex en venta en calle de Soler i Rovirosa,El Clot, Barcelona,745000,"
785000 €
",0,150.0,3.0,Bajo interior sin ascensor,True,True,False,True,False,False,True,False,False,Buen estado,,
12,89745843,Ático en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2200000,2200000,0,175.0,2.0,Planta 22ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,
13,103904751,Piso en venta en rambla del Poblenou,El Poblenou, Barcelona,465000,465000,0,82.0,3.0,Planta 8ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,173,32.0
14,105797600,Ático en venta en calle de Salvador Espriu,La Vila Olímpica del Poblenou, Barcelona,1450000,1450000,0,243.0,6.0,Planta 6ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
15,88318137,Piso en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1650000,1650000,0,100.0,3.0,Planta 17ª exterior con ascensor,True,True,True,True,False,True,False,True,False,Buen estado,,
16,102912353, Chalet adosado en venta en calle del Taulat,El Poblenou, Barcelona,1500000,1500000,0,300.0,4.0,,True,True,True,False,False,False,True,False,False,Buen estado,137,28.0
17,104595313,Piso en venta en calle d'Àvila,El Parc i la Llacuna del Poblenou, Barcelona,400000,400000,0,74.0,3.0,Planta 2ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
18,102689885,Piso en venta en El Camp de l'Arpa del Clot,Sant Martí, Barcelona,335000,"
350000 €
",0,90.0,4.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,134,26.0
19,105116389,Piso en venta en avenida d'Eduard Maristany,El Besòs, Barcelona,1095000,1095000,0,136.0,3.0,Planta 13ª exterior con ascensor,True,True,False,True,True,True,False,True,False,Buen estado,,
20,103432919,Piso en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,769000,769000,0,106.0,2.0,,True,True,False,True,False,True,False,True,False,Buen estado,23,
21,105551632,Piso en venta en La Vila Olímpica del Poblenou,Sant Martí, Barcelona,520000,520000,0,71.0,2.0,Planta 1ª exterior con ascensor,False,False,False,True,True,True,False,False,False,Buen estado,,
22,101604271, Chalet adosado en venta en Passatge d'Alí Bei,El Parc i la Llacuna del Poblenou, Barcelona,819000,"
849000 €
",0,136.0,3.0,,True,True,True,False,False,False,False,False,False,Buen estado,215,45.0
23,102270661,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1790000,1790000,0,142.0,3.0,Planta 24ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
24,104330245,Piso en venta en El Poblenou,Sant Martí, Barcelona,880000,880000,0,128.0,4.0,Planta 4ª exterior con ascensor,True,True,False,True,True,True,False,True,False,Buen estado,,
25,81877625,Piso en venta en Garcia i Faria,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1100000,1100000,0,130.0,3.0,Planta 10ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
26,104412222,Piso en venta en calle de Buenaventura Muñoz,El Parc i la Llacuna del Poblenou, Barcelona,395000,395000,0,72.0,2.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
27,105492176, Chalet adosado en venta en calle de Fernando Poo,El Poblenou, Barcelona,890000,890000,0,169.0,3.0,,True,True,True,False,False,False,True,False,False,Buen estado,,
28,104883797,Piso en venta en calle de la Marina,La Vila Olímpica del Poblenou, Barcelona,745000,745000,0,117.0,4.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,
29,85302646,Piso en venta en calle del Perelló,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,849000,849000,0,105.0,3.0,Planta 5ª exterior con ascensor,True,True,True,True,True,True,False,True,False,Buen estado,,
30,103364057,Piso en venta en calle del Maresme,Provençals del Poblenou, Barcelona,349000,349000,0,113.0,4.0,Planta 1ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,196,36.0
31,101004084,Piso en venta en El Poblenou,Sant Martí, Barcelona,320000,320000,0,61.0,2.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,43,
32,105670099,"Piso en venta en calle de la Nació, 62 ---70",El Camp de l'Arpa del Clot, Barcelona,369000,"
378000 €
",0,74.0,3.0,Planta 3ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
33,101990029, Chalet adosado en venta en calle del Taulat,El Poblenou, Barcelona,8000000,8000000,0,1.4,5.0,,True,True,True,False,True,False,True,True,False,Buen estado,200,49.0
34,105591040,Piso en venta en avenida d'Icària,La Vila Olímpica del Poblenou, Barcelona,750000,750000,0,135.0,4.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,
35,101404883,Piso en venta en calle de la Indústria,El Camp de l'Arpa del Clot, Barcelona,353000,353000,0,74.0,3.0,,False,False,False,True,False,False,False,False,False,Buen estado,46,
36,104962281,Piso en venta en calle d'Espronceda,El Poblenou, Barcelona,465000,"
480000 €
",0,100.0,4.0,Planta 1ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,
37,103922963,Piso en venta en calle de Sardenya,El Parc i la Llacuna del Poblenou, Barcelona,379500,379500,0,79.0,3.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,
38,103561537,Ático en venta en Selva De Mar,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1250000,1250000,0,117.0,3.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,36,
39,103471503, Casa o chalet independiente en venta en calle de l'Agricultura,Provençals del Poblenou, Barcelona,749900,749900,0,194.0,4.0,,True,True,False,False,False,True,False,True,False,Buen estado,246,51.0
40,105635942,"Ático en venta en calle Pallars, 418",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,472000,472000,0,69.0,2.0,Planta 6ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Nueva,,
41,100947336,"Piso en venta en calle Llull, 350",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,681750,681750,0,111.0,2.0,Planta 17ª exterior con ascensor,False,False,False,False,False,False,False,False,False,No especificado,,
42,105611053,"Piso en venta en calle Pallars, 418",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,361500,361500,0,51.0,1.0,Planta 4ª exterior con ascensor,True,False,True,True,True,True,True,True,False,Nueva,,
43,101725760,"Piso en venta en calle Llull, 350",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,718200,718200,0,133.0,2.0,Planta 12ª exterior con ascensor,False,False,False,False,False,False,False,False,False,No especificado,,
44,106079145,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1525000,1525000,0,170.0,4.0,Planta 9ª con ascensor,True,True,True,True,True,False,True,True,False,Buen estado,,
45,105436269, Chalet adosado en venta en Passatge de Maria Llimona,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1295000,1295000,0,215.0,3.0,,True,True,False,False,True,False,True,False,False,Buen estado,85,16.0
46,105533663,Piso en venta en avenida Diagonal,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,390000,"
410000 €
",0,82.0,2.0,Planta 7ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
47,106085871,Piso en venta en plaza dels Germans Serra,El Besòs, Barcelona,200000,200000,0,71.0,2.0,Planta 7ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,
48,105925739,"Piso en venta en calle de Llull, 360",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,868950,868950,0,124.0,3.0,Planta 15ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,129,23.0
49,104395845,Piso en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,1850000,1850000,0,134.0,3.0,Planta 24ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
50,105684271, Chalet adosado en venta en calle de Xifré,El Camp de l'Arpa del Clot, Barcelona,970000,"
995000 €
",0,300.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,100,10.0
51,98269028,Ático en venta en calle de Vidal i de Valenciano,El Poblenou, Barcelona,1900000,1900000,0,134.0,2.0,Planta 14ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,116,
52,102864107,Dúplex en venta en Passatge de Mas de Roda,El Poblenou, Barcelona,795000,795000,0,140.0,2.0,Bajo exterior sin ascensor,True,False,False,True,True,True,False,False,False,Buen estado,,
53,105458558,Piso en venta en calle de Bac de Roda,El Poblenou, Barcelona,360000,360000,0,65.0,2.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,
54,100249882,Piso en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1650000,1650000,0,143.0,3.0,Planta 17ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
55,105297687,Piso en venta en calle de Nàpols,El Parc i la Llacuna del Poblenou, Barcelona,450000,450000,0,75.0,2.0,Planta 2ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
56,102548225,"Piso en venta en calle Llull, 350",Diagonal Mar i el Front Marítim del Poblenou, Barcelona,844650,844650,0,124.0,3.0,Planta 12ª exterior con ascensor,False,False,False,False,False,False,False,False,False,No especificado,,
57,92808556,Ático en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2500000,2500000,0,153.0,3.0,Planta 22ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
58,105464393,Piso en venta en La Vila Olímpica del Poblenou,Sant Martí, Barcelona,750000,"
785000 €
",0,113.0,3.0,Planta 5ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,
59,102791310,Dúplex en venta en calle del Taulat,El Poblenou, Barcelona,1500000,1500000,0,314.0,4.0,Bajo exterior sin ascensor,False,True,False,True,False,True,True,False,False,Buen estado,,
60,105658378,Piso en venta en Passatge de Bosch i Labrús,El Poblenou, Barcelona,475000,475000,0,72.0,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,129,
61,105486862,Piso en venta en calle de Sant Francesc,El Poblenou, Barcelona,595000,595000,0,130.0,2.0,Bajo exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
62,105180956,Piso en venta en calle de Josep Pla,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,930000,930000,0,135.0,4.0,Planta 2ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,118,
63,105374050,Piso en venta en calle del Clot,El Clot, Barcelona,1750000,1750000,0,500.0,3.0,Bajo exterior sin ascensor,True,True,False,True,False,True,False,False,False,Buen estado,150,31.0
64,98632406,Ático en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2200000,2200000,0,175.0,2.0,,True,True,True,True,False,True,True,True,False,Buen estado,,
65,105881498,Piso en venta en El Poblenou,Sant Martí, Barcelona,540000,540000,0,95.0,3.0,,True,False,False,True,True,True,False,True,False,Buen estado,,
66,105288505,Piso en venta en El Poblenou,Sant Martí, Barcelona,565000,"
585000 €
",0,128.0,3.0,Planta 6ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,139,28.0
67,105812413, Chalet pareado en venta en La Vila Olímpica del Poblenou,Sant Martí, Barcelona,650000,650000,0,120.0,3.0,,True,True,False,False,False,False,False,False,False,Buen estado,,
68,103752435,Ático en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,1450000,1450000,0,150.0,4.0,,True,True,False,True,True,True,True,True,False,Buen estado,,
69,104572360,"Piso en venta en calle Gretel Ammann Martinez, 12",La Verneda i la Pau, Barcelona,451000,451000,0,88.0,3.0,Planta 1ª exterior con ascensor,False,False,False,False,False,True,False,False,False,No especificado,,
70,101142517,"Piso en venta en calle Gretel Ammann Martinez, 12",La Verneda i la Pau, Barcelona,408000,408000,0,62.0,2.0,Planta 12ª exterior con ascensor,False,False,False,False,False,True,False,False,False,No especificado,,
71,106064108,Piso en venta en El Camp de l'Arpa del Clot,Sant Martí, Barcelona,260000,260000,0,49.0,2.0,Bajo exterior sin ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,
72,105568078,Piso en venta en calle del Clot,El Clot, Barcelona,745000,"
785000 €
",0,180.0,3.0,Bajo interior con ascensor,True,True,False,True,False,False,True,False,False,Buen estado,,
73,104254777,Piso en venta en Provençals del Poblenou,Sant Martí, Barcelona,440000,"
465000 €
",0,90.0,2.0,Planta 1ª exterior sin ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,
74,105309989,Piso en venta en calle de Tarent,El Besòs, Barcelona,263000,263000,0,55.0,2.0,Planta 4ª exterior sin ascensor,False,False,False,True,False,True,True,False,False,Buen estado,,
75,105005289,Piso en venta en calle de Pallars,El Poblenou, Barcelona,735000,735000,0,86.0,2.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,False,False,False,Buen estado,,
76,105913962,Piso en venta en calle de València,El Camp de l'Arpa del Clot, Barcelona,425000,"
449000 €
",0,95.0,3.0,Planta 2ª exterior con ascensor,True,False,True,True,False,True,True,False,False,Buen estado,162,34.0
77,105931237,"Piso en venta en calle Gretel Ammann Martinez, 12",La Verneda i la Pau, Barcelona,455000,455000,0,87.0,3.0,Planta 2ª exterior con ascensor,False,False,False,False,False,True,False,False,False,No especificado,,
78,104752554,Piso en venta en calle de Castella s/n,Provençals del Poblenou, Barcelona,395000,395000,0,89.0,4.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,
79,105904179,Piso en venta en La Vila Olímpica del Poblenou,Sant Martí, Barcelona,350000,350000,0,42.0,1.0,Planta 1ª exterior con ascensor,False,False,False,True,True,True,False,False,False,Buen estado,,
80,105874514,Piso en venta en calle de la Marina,El Parc i la Llacuna del Poblenou, Barcelona,340000,340000,0,67.0,3.0,Planta 4ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,
81,105582931,Piso en venta en calle de Moscou,La Vila Olímpica del Poblenou, Barcelona,750000,"
795000 €
",0,130.0,3.0,Planta 1ª exterior con ascensor,True,False,True,True,True,True,True,False,False,Buen estado,,
82,104331461,Piso en venta en calle de Sancho de Ávila,El Parc i la Llacuna del Poblenou, Barcelona,690000,690000,0,124.0,3.0,Planta 11ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
83,106040702,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1525000,1525000,0,170.0,4.0,Planta 9ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
84,106030716,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1525000,1525000,0,169.0,4.0,Planta 9ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,112,
85,103195612,Piso en venta en El Poblenou,Sant Martí, Barcelona,589000,589000,0,93.0,2.0,Planta 5ª exterior con ascensor,True,True,True,True,False,True,False,False,False,Buen estado,,
86,105798875,Ático en venta en El Poblenou,Sant Martí, Barcelona,590000,590000,0,100.0,4.0,Planta 5ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,
87,105515125,Piso en venta en La Vila Olímpica del Poblenou,Sant Martí, Barcelona,360000,360000,0,42.0,1.0,Planta 4ª exterior con ascensor,False,False,False,True,True,True,False,False,False,Buen estado,,
88,104271713,Piso en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,2800000,2800000,0,215.0,2.0,Planta 17ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,87,
